OBJECTID_1,FID_TL_201,ALAND10,AWATER10,CNTY2010,CT10,CT2010,GEODESC,ACRES,SQ_MILES,POP100,HU100,NHW,NHB,NHAI,NHA,NHNH,NHO,NHT,HISP,PNHW,PNHB,PNHAI,PNHA,PNHNH,PNHO,PNHT,PHISP,POP65_,PCTPOP65_,MEDAGE,VACNS,PVACNS,PHOWN,PWOMORT,PRENT,PLT18SP,CNTY20101,CT101,AREA,ACRES_1,SQMILES,PSQM,REPORT_2_P,REPORT_9_P,Shape_Length,Shape_Area
732,736,28157241,162743,24033,807408,24033807408,8074.08,6997.34991,10.93336,5729,2428,2725,1726,8,599,2,16,158,495,47.6,30.1,0.1,10.5,0,0.3,2.8,8.6,682,11.9,39.7,62,2.6,82,24.9,18,29.2,24033,807408,0,6997.34991,10.93336,523.99,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24033807408.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24033807408.pdf,40756.3435717326,47008960.8273418
733,737,3030512,2681736,24033,801410,24033801410,8014.10,748.78089,1.16997,3519,1248,367,2357,10,450,1,5,77,252,10.4,67,0.3,12.8,0,0.1,2.2,7.2,622,17.7,44.4,66,5.3,91.3,15.4,8.7,30.4,24033,801410,0,748.78089,1.16997,3007.77,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24033801410.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24033801410.pdf,12253.7332044703,4991118.51910654
734,738,1556586,0,24033,801908,24033801908,8019.08,384.60078,0.60094,3363,1430,49,3123,9,12,0,9,58,103,1.5,92.9,0.3,0.4,0,0.3,1.7,3.1,180,5.4,31.4,59,4.1,15.3,16.7,84.7,71,24033,801908,0,384.60078,0.60094,5596.25,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24033801908.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24033801908.pdf,8542.9417514187,2569756.07376998
735,739,4114501,7028,24033,801907,24033801907,8019.07,1018.34545,1.59116,3528,1719,157,3100,11,50,1,1,58,150,4.5,87.9,0.3,1.4,0,0,1.6,4.3,803,22.8,44.8,109,6.3,51.9,9.3,48.1,62.5,24033,801907,0,1018.34545,1.59116,2217.25,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24033801907.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24033801907.pdf,15043.6138617275,6801263.07581381
736,740,541326,4842,24033,802408,24033802408,8024.08,134.9467,0.21085,1783,835,49,1540,5,41,0,5,25,118,2.7,86.4,0.3,2.3,0,0.3,1.4,6.6,96,5.4,32.6,70,8.4,32.4,5.6,67.6,60.3,24033,802408,0,134.9467,0.21085,8456.09,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24033802408.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24033802408.pdf,4341.73166155543,902179.318197284
737,741,973065,0,24033,802107,24033802107,8021.07,240.42453,0.37566,3560,1558,68,3333,8,18,2,2,49,80,1.9,93.6,0.2,0.5,0.1,0.1,1.4,2.2,99,2.8,28.7,138,8.9,33,1.9,67,70.3,24033,802107,0,240.42453,0.37566,9476.59,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24033802107.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24033802107.pdf,6392.95244544686,1606339.76326286
738,742,2525673,89544,24033,803522,24033803522,8035.22,624.71804,0.97612,3727,1510,60,3439,2,84,3,3,52,84,1.6,92.3,0.1,2.3,0.1,0.1,1.4,2.3,262,7,37.2,53,3.5,73.6,3.5,26.4,46,24033,803522,0,624.71804,0.97612,3818.18,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24033803522.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24033803522.pdf,15610.4807723551,4181036.90093527
739,743,53709686,3642547,24043,011600,24043011600,0116.00,13271.91457,20.73737,2896,1228,2739,9,4,8,0,0,88,48,94.6,0.3,0.1,0.3,0,0,3,1.7,367,12.7,43.7,83,6.8,84.8,27.7,15.2,22.5,24043,011600,0,13271.91457,20.73737,139.65,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24043011600.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24043011600.pdf,76817.1286101773,90201423.4213795
740,744,80517185,1580477,24043,010500,24043010500,0105.00,19897.89362,31.09046,6152,2473,5820,121,6,26,1,1,65,112,94.6,2,0.1,0.4,0,0,1.1,1.8,890,14.5,42,131,5.3,84.9,35.3,15.1,21.7,24043,010500,0,19897.89362,31.09046,197.87,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24043010500.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24043010500.pdf,121410.848539592,136030631.417682
741,745,16773229,580624,24043,010802,24043010802,0108.02,4144.96532,6.47651,2506,1204,2344,68,2,31,0,0,28,33,93.5,2.7,0.1,1.2,0,0,1.1,1.3,454,18.1,44.7,85,7.1,55.6,37.6,44.4,41.1,24043,010802,0,4144.96532,6.47651,386.94,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24043010802.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24043010802.pdf,27308.7349558581,28280008.8458852
742,746,110039671,4417428,24043,010900,24043010900,0109.00,27201.72123,42.50269,8188,3104,7320,320,15,171,4,6,109,243,89.4,3.9,0.2,2.1,0,0.1,1.3,3,1090,13.3,40.3,154,5,83,25.7,17,19.9,24043,010900,0,27201.72123,42.50269,192.65,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24043010900.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24043010900.pdf,89720.1465655182,185349728.369848
743,747,1005570,0,24043,000400,24043000400,0004.00,248.50129,0.38828,2189,1299,1035,904,12,5,0,6,127,100,47.3,41.3,0.5,0.2,0,0.3,5.8,4.6,213,9.7,37.9,231,17.8,14.2,30.5,85.8,75.3,24043,000400,0,248.50129,0.38828,5637.65,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24043000400.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24043000400.pdf,6090.07023588028,1698185.3108419
