OBJECTID_1,FID_TL_201,ALAND10,AWATER10,CNTY2010,CT10,CT2010,GEODESC,ACRES,SQ_MILES,POP100,HU100,NHW,NHB,NHAI,NHA,NHNH,NHO,NHT,HISP,PNHW,PNHB,PNHAI,PNHA,PNHNH,PNHO,PNHT,PHISP,POP65_,PCTPOP65_,MEDAGE,VACNS,PVACNS,PHOWN,PWOMORT,PRENT,PLT18SP,CNTY20101,CT101,AREA,ACRES_1,SQMILES,PSQM,REPORT_2_P,REPORT_9_P,Shape_Length,Shape_Area
164,165,1539383,0,24510,270502,24510270502,2705.02,380.37743,0.59434,4361,1982,1911,2120,22,64,5,2,113,124,43.8,48.6,0.5,1.5,0.1,0,2.6,2.8,493,11.3,39.2,173,8.7,70.3,19.5,29.7,47.5,24510,270502,0,380.37743,0.59434,7337.57,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510270502.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510270502.pdf,7546.97110442042,2578273.2321498
165,166,427352,0,24510,030100,24510030100,0301.00,105.59597,0.16499,3065,1328,349,2349,22,83,0,0,42,220,11.4,76.6,0.7,2.7,0,0,1.4,7.2,152,5,29,154,11.6,15.1,26,84.9,89.3,24510,030100,0,105.59597,0.16499,18576.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510030100.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510030100.pdf,3533.33479767598,714391.426789327
166,167,197558,0,24510,020200,24510020200,0202.00,48.8155,0.07627,2087,1076,901,300,7,132,3,4,40,700,43.2,14.4,0.3,6.3,0.1,0.2,1.9,33.5,122,5.8,30.5,210,19.5,46.9,27.5,53.1,46.9,24510,020200,0,48.8155,0.07627,27361.84,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510020200.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510020200.pdf,2486.40002100094,330245.693653767
167,168,5673762,9589222,24510,250600,24510250600,2506.00,1411.05688,2.20478,22,13,17,0,0,0,0,0,0,5,77.3,0,0,0,0,0,0,22.7,4,18.2,53,3,23.1,60,50,40,0,24510,250600,0,1411.05688,2.20478,9.98,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510250600.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510250600.pdf,32620.5020449598,9532653.5597023
168,169,432097,314926,24510,240200,24510240200,2402.00,106.7677,0.16682,2564,1608,2232,100,3,108,0,2,39,80,87.1,3.9,0.1,4.2,0,0.1,1.5,3.1,246,9.6,36,228,14.2,67.1,17.9,32.9,25.7,24510,240200,0,106.7677,0.16682,15369.47,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510240200.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510240200.pdf,6439.0916868607,722023.80161562
169,170,1445800,1171,24510,150900,24510150900,1509.00,357.53829,0.55865,3344,1557,67,3194,11,6,0,3,28,35,2,95.5,0.3,0.2,0,0.1,0.8,1,552,16.5,42.6,279,17.9,62.9,28.8,37.1,69.4,24510,150900,0,357.53829,0.55865,5985.83,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510150900.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510150900.pdf,10669.2300911891,2420533.33833892
170,171,662748,384090,24510,020300,24510020300,0203.00,163.76013,0.25588,3344,2529,2698,142,14,170,3,3,71,243,80.7,4.2,0.4,5.1,0.1,0.1,2.1,7.3,314,9.4,33.4,415,16.4,30.4,19.8,69.6,29.2,24510,020300,0,163.76013,0.25588,13068.89,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510020300.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510020300.pdf,7846.3404199614,1107679.64783416
171,172,1021029,0,24510,270102,24510270102,2701.02,252.29215,0.39421,3749,1604,907,2660,10,19,1,6,81,65,24.2,71,0.3,0.5,0,0.2,2.2,1.7,317,8.5,37.8,197,12.3,80.1,14.7,19.9,49.9,24510,270102,0,252.29215,0.39421,9510.26,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510270102.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510270102.pdf,5363.05909485816,1709190.22223302
172,173,917475,380163,24510,250207,24510250207,2502.07,226.69918,0.35422,2059,937,53,1887,6,12,0,4,31,66,2.6,91.6,0.3,0.6,0,0.2,1.5,3.2,176,8.5,28.1,73,7.8,16.2,35.7,83.8,79.8,24510,250207,0,226.69918,0.35422,5812.82,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510250207.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510250207.pdf,6609.98159263007,1532159.69596995
173,174,38005229,11554,24001,001401,24001001401,0014.01,9394.85856,14.67947,4110,1874,3923,34,4,70,0,2,40,37,95.5,0.8,0.1,1.7,0,0,1,0.9,896,21.8,48,109,5.8,86.4,43,13.6,20.1,24001,001401,0,9394.85856,14.67947,279.98,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24001001401.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24001001401.pdf,49993.0390513329,64196970.8378348
174,175,69411002,1293954,24001,002000,24001002000,0020.00,17175.08579,26.83607,5552,2483,5337,40,11,43,0,8,70,43,96.1,0.7,0.2,0.8,0,0.1,1.3,0.8,1022,18.4,43.6,164,6.6,80.7,40.5,19.3,29.1,24001,002000,0,17175.08579,26.83607,206.89,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24001002000.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24001002000.pdf,74996.1266801682,117056362.94469
175,176,64374649,126351,24001,001900,24001001900,0019.00,15939.5058,24.90548,2623,1130,2582,1,0,9,0,2,18,11,98.4,0,0,0.3,0,0.1,0.7,0.4,465,17.7,43.3,87,7.7,85.2,45.4,14.8,24.6,24001,001900,0,15939.5058,24.90548,105.32,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24001001900.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24001001900.pdf,55751.2380107427,108815046.762874
176,177,29886620,21107,24001,001503,24001001503,0015.03,7391.14002,11.54866,1968,878,1917,10,2,1,0,0,22,16,97.4,0.5,0.1,0.1,0,0,1.1,0.8,352,17.9,43.3,81,9.2,86.1,43.2,13.9,19.1,24001,001503,0,7391.14002,11.54866,170.41,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24001001503.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24001001503.pdf,40385.3205946234,50592941.6554453
177,178,9334839,5979,24001,001800,24001001800,0018.00,2308.35139,3.6068,5411,1839,4079,986,9,95,4,4,106,128,75.4,18.2,0.2,1.8,0.1,0.1,2,2.4,419,7.7,21.5,165,9,39,42.6,61,39,24001,001800,0,2308.35139,3.6068,1500.22,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24001001800.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24001001800.pdf,16815.4027327154,15778609.5941767
178,179,9642730,61044,24001,000400,24001000400,0004.00,2383.81673,3.72471,3022,1592,2769,149,6,16,3,1,62,16,91.6,4.9,0.2,0.5,0.1,0,2.1,0.5,637,21.1,44,230,14.4,69,45.4,31,45.4,24001,000400,0,2383.81673,3.72471,811.34,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24001000400.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24001000400.pdf,30022.8945671085,16305418.255149
179,180,2972160,0,24001,001402,24001001402,0014.02,734.49455,1.14765,1589,736,1517,28,2,16,0,2,21,3,95.5,1.8,0.1,1,0,0.1,1.3,0.2,289,18.2,43.6,52,7.1,77.4,36.5,22.6,25.6,24001,001402,0,734.49455,1.14765,1384.57,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24001001402.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24001001402.pdf,14874.2509434828,5020079.52517183
180,181,504508,90522,24510,030200,24510030200,0302.00,125.38166,0.19591,2342,1459,1193,784,7,165,0,2,44,147,50.9,33.5,0.3,7,0,0.1,1.9,6.3,205,8.8,32.9,219,15,38.1,23.8,61.9,67.3,24510,030200,0,125.38166,0.19591,11954.56,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510030200.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510030200.pdf,5357.11498537726,848198.359410344
181,182,962780,0,24510,250101,24510250101,2501.01,237.89549,0.37171,3626,1516,294,3165,7,29,0,0,52,79,8.1,87.3,0.2,0.8,0,0,1.4,2.2,242,6.7,33.7,112,7.4,60.9,9,39.1,65.4,24510,250101,0,237.89549,0.37171,9754.89,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510250101.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510250101.pdf,5853.11008383778,1608885.95346989
182,183,557801,0,24510,280402,24510280402,2804.02,137.82959,0.21536,1574,676,14,1515,3,3,0,1,15,23,0.9,96.3,0.2,0.2,0,0.1,1,1.5,379,24.1,46.7,54,8,79.7,34.3,20.3,73.8,24510,280402,0,137.82959,0.21536,7308.75,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510280402.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510280402.pdf,4941.76762545537,932720.297463111
183,184,365704,0,24510,080102,24510080102,0801.02,90.36387,0.14119,2508,929,54,2385,2,5,0,2,36,24,2.2,95.1,0.1,0.2,0,0.1,1.4,1,214,8.5,30.1,145,15.6,52.2,17.4,47.8,79.2,24510,080102,0,90.36387,0.14119,17762.88,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510080102.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510080102.pdf,3590.72158216044,611816.343948048
184,185,436586,0,24510,040200,24510040200,0402.00,107.87746,0.16856,838,455,371,238,3,168,0,1,36,21,44.3,28.4,0.4,20,0,0.1,4.3,2.5,9,1.1,26.4,81,17.8,1.1,50,98.9,66.7,24510,040200,0,107.87746,0.16856,4971.57,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510040200.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510040200.pdf,3655.43736249423,729845.439301196
185,186,1067262,0,24510,200800,24510200800,2008.00,263.71198,0.41205,2282,1024,257,1923,14,11,1,3,46,27,11.3,84.3,0.6,0.5,0,0.1,2,1.2,182,8,34.6,182,17.8,53.3,17.1,46.7,67.1,24510,200800,0,263.71198,0.41205,5538.17,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510200800.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510200800.pdf,6162.82329898871,1783635.63152656
186,187,1088908,0,24510,270903,24510270903,2709.03,269.06494,0.42041,4603,1411,362,3992,6,39,3,8,75,118,7.9,86.7,0.1,0.8,0.1,0.2,1.6,2.6,364,7.9,22.2,108,7.7,57.4,23.4,42.6,60.7,24510,270903,0,269.06494,0.42041,10948.75,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510270903.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510270903.pdf,7022.74915398909,1823038.97099885
187,188,257733,0,24510,060200,24510060200,0602.00,63.6841,0.09951,3265,1516,917,1599,23,70,1,1,69,585,28.1,49,0.7,2.1,0,0,2.1,17.9,179,5.5,29.5,383,25.3,46.8,18.3,53.2,64.8,24510,060200,0,63.6841,0.09951,32812.01,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510060200.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510060200.pdf,2626.20167278397,430904.570835684
188,189,311706,0,24510,260800,24510260800,2608.00,77.02062,0.12034,2647,1206,1053,456,26,44,4,0,58,1006,39.8,17.2,1,1.7,0.2,0,2.2,38,278,10.5,32.6,256,21.2,39.4,26.5,60.6,54.4,24510,260800,0,77.02062,0.12034,21995.18,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510260800.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510260800.pdf,2886.099118467,521080.670274529
189,190,400954,0,24510,160400,24510160400,1604.00,99.07284,0.1548,2525,1727,21,2453,2,9,0,5,26,9,0.8,97.1,0.1,0.4,0,0.2,1,0.4,267,10.6,36.3,865,50.1,38.4,48.9,61.6,82.9,24510,160400,0,99.07284,0.1548,16311.26,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510160400.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510160400.pdf,3805.69316557027,670424.774288842
190,191,1408205,0,24510,280101,24510280101,2801.01,347.96252,0.54369,3226,1452,136,2880,9,31,2,1,45,122,4.2,89.3,0.3,1,0.1,0,1.4,3.8,408,12.6,39.3,122,8.4,53.8,17.1,46.2,62.5,24510,280101,0,347.96252,0.54369,5933.52,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510280101.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510280101.pdf,11733.5524986126,2358199.62166635
191,192,1179837,31336,24510,250401,24510250401,2504.01,291.52467,0.45551,3823,1639,2127,875,17,102,0,8,147,547,55.6,22.9,0.4,2.7,0,0.2,3.8,14.3,310,8.1,33.3,259,15.8,45.4,26.3,54.6,56.8,24510,250401,0,291.52467,0.45551,8392.85,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510250401.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510250401.pdf,6661.96062849471,1969366.32219516
192,193,1205497,965344,24510,240400,24510240400,2404.00,297.86702,0.46542,2571,1417,2322,56,4,76,0,1,39,73,90.3,2.2,0.2,3,0,0,1.5,2.8,215,8.4,31.1,134,9.5,63.3,19.5,36.7,30.6,24510,240400,0,297.86702,0.46542,5524.08,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510240400.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510240400.pdf,14120.9019146019,2013871.95356397
193,194,738091,0,24510,250102,24510250102,2501.02,182.37631,0.28496,2910,1294,225,2532,11,27,2,11,45,57,7.7,87,0.4,0.9,0.1,0.4,1.5,2,205,7,33,155,12,51.7,13.6,48.3,70.1,24510,250102,0,182.37631,0.28496,10211.87,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510250102.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510250102.pdf,4612.13950806129,1233418.20730483
194,195,2316111,14440,24510,250205,24510250205,2502.05,572.28783,0.8942,4689,1791,1022,2539,9,133,1,5,84,896,21.8,54.1,0.2,2.8,0,0.1,1.8,19.1,344,7.3,30.4,164,9.2,46.6,18.1,53.4,63.4,24510,250205,0,572.28783,0.8942,5243.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510250205.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510250205.pdf,12411.242430004,3867558.72402434
195,196,200562,0,24510,240300,24510240300,2403.00,49.55716,0.07743,2141,1226,1922,63,0,61,1,4,27,63,89.8,2.9,0,2.8,0,0.2,1.3,2.9,141,6.6,30,110,9,52.5,14,47.5,12.3,24510,240300,0,49.55716,0.07743,27649.73,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510240300.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510240300.pdf,2537.19491891161,335142.90653474
196,197,530271,0,24510,271802,24510271802,2718.02,131.02773,0.20473,2993,1389,33,2873,3,1,0,3,38,42,1.1,96,0.1,0,0,0.1,1.3,1.4,351,11.7,33.4,425,30.6,49,32.2,51,76.3,24510,271802,0,131.02773,0.20473,14619.22,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510271802.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510271802.pdf,3846.70369061099,887823.075714179
197,198,238721,0,24510,060100,24510060100,0601.00,58.98567,0.09217,3222,1298,727,1525,34,48,3,4,63,818,22.6,47.3,1.1,1.5,0.1,0.1,2,25.4,156,4.8,29.7,297,22.9,50,16,50,66.7,24510,060100,0,58.98567,0.09217,34959.05,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510060100.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510060100.pdf,2545.12304867573,399116.257161786
198,199,673884,10498,24510,010300,24510010300,0103.00,169.10426,0.26423,2208,1330,1880,84,0,64,0,2,24,154,85.1,3.8,0,2.9,0,0.1,1.1,7,159,7.2,30.6,213,16,63.9,17.9,36.1,33.7,24510,010300,0,169.10426,0.26423,8356.51,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510010300.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510010300.pdf,4386.32630572824,1143994.22840997
199,200,355165,0,24510,010200,24510010200,0102.00,87.75861,0.13712,3009,1564,2085,287,18,72,0,8,50,489,69.3,9.5,0.6,2.4,0,0.3,1.7,16.3,278,9.2,32.1,193,12.3,71.6,21.3,28.4,41.4,24510,010200,0,87.75861,0.13712,21943.86,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510010200.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510010200.pdf,3560.05410301124,593693.772259589
200,201,1132896,0,24510,270902,24510270902,2709.02,279.93451,0.4374,4754,1484,271,4333,10,17,0,9,56,58,5.7,91.1,0.2,0.4,0,0.2,1.2,1.2,645,13.6,30.5,65,4.4,86.1,24.8,13.9,64.2,24510,270902,0,279.93451,0.4374,10868.85,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510270902.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510270902.pdf,6795.37844978103,1897125.25849609
201,202,393197,148387,24510,010100,24510010100,0101.00,97.15583,0.15181,3022,1728,2683,123,8,65,4,5,32,102,88.8,4.1,0.3,2.2,0.1,0.2,1.1,3.4,436,14.4,33.2,192,11.1,69.5,21.1,30.5,25.9,24510,010100,0,97.15583,0.15181,19907.02,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510010100.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510010100.pdf,3494.85838923399,657130.455719702
202,203,677544,0,24510,270901,24510270901,2709.01,167.41915,0.26159,4043,1759,79,3836,6,18,0,5,49,50,2,94.9,0.1,0.4,0,0.1,1.2,1.2,634,15.7,36.8,127,7.2,54.6,32.3,45.4,70.1,24510,270901,0,167.41915,0.26159,15455.37,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510270901.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510270901.pdf,4598.00646552679,1134574.08002434
203,204,1099797,0,24510,270802,24510270802,2708.02,271.75673,0.42462,4992,2231,191,4580,6,32,4,3,95,81,3.8,91.7,0.1,0.6,0.1,0.1,1.9,1.6,436,8.7,34.9,170,7.6,50.6,16.4,49.4,64.1,24510,270802,0,271.75673,0.42462,11756.42,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510270802.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510270802.pdf,5677.41557275406,1842246.92828683
204,205,10006085,7154330,24510,260605,24510260605,2606.05,2477.36658,3.87089,4795,2078,2713,784,68,99,7,10,111,1003,56.6,16.4,1.4,2.1,0.1,0.2,2.3,20.9,704,14.7,38.2,149,7.2,54.5,35.9,45.5,48.9,24510,260605,0,2477.36658,3.87089,1238.74,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510260605.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510260605.pdf,42370.3408268667,16749232.7095888
205,206,704179,0,24510,250402,24510250402,2504.02,173.9946,0.27187,4930,2162,1830,2358,21,32,2,9,183,495,37.1,47.8,0.4,0.6,0,0.2,3.7,10,268,5.4,27.3,442,20.4,33,21.9,67,70,24510,250402,0,173.9946,0.27187,18133.92,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510250402.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510250402.pdf,4893.5922739022,1175193.73384027
206,207,557962,0,24510,271801,24510271801,2718.01,137.8696,0.21542,3175,1564,38,3052,3,10,0,3,50,19,1.2,96.1,0.1,0.3,0,0.1,1.6,0.6,510,16.1,42.1,244,15.6,49.8,28.7,50.2,71.8,24510,271801,0,137.8696,0.21542,14738.59,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510271801.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510271801.pdf,4097.68791944741,934262.979578933
207,208,1635880,0,24510,260201,24510260201,2602.01,404.21804,0.63159,5116,2395,599,4138,18,124,1,6,108,122,11.7,80.9,0.4,2.4,0,0.1,2.1,2.4,400,7.8,33.3,243,10.1,33,15.1,67,67.5,24510,260201,0,404.21804,0.63159,8100.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510260201.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510260201.pdf,6934.96062090533,2737759.83677747
208,209,1339551,0,24510,260401,24510260401,2604.01,330.99548,0.51718,3230,1431,2236,74,21,12,4,1,66,816,69.2,2.3,0.7,0.4,0.1,0,2,25.3,445,13.8,37.9,72,5,66.4,64.6,33.6,59.2,24510,260401,0,330.99548,0.51718,6245.41,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510260401.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510260401.pdf,6453.95395389654,2240351.73015525
209,210,2866605,3175,24510,271300,24510271300,2713.00,709.11399,1.10799,2791,1222,2171,199,1,308,0,2,50,60,77.8,7.1,0,11,0,0.1,1.8,2.1,430,15.4,43.2,61,5,65.2,30.7,34.8,12.8,24510,271300,0,709.11399,1.10799,2518.98,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510271300.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510271300.pdf,9812.76073201524,4807303.60176109
210,211,336359,0,24510,230100,24510230100,2301.00,83.11192,0.12986,1953,941,1176,630,9,46,0,1,28,63,60.2,32.3,0.5,2.4,0,0.1,1.4,3.2,102,5.2,27.6,73,7.8,39.4,15.5,60.6,69,24510,230100,0,83.11192,0.12986,15039.02,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510230100.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510230100.pdf,3127.6075358034,562064.874029382
211,212,2315120,1899,24510,080101,24510080101,0801.01,572.05398,0.89383,3881,1472,908,2788,14,41,0,2,57,71,23.4,71.8,0.4,1.1,0,0.1,1.5,1.8,312,8,34.1,154,10.5,74.4,14.8,25.6,69.7,24510,080101,0,572.05398,0.89383,4341.97,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510080101.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510080101.pdf,8966.88979743993,3873819.05763879
212,213,187109,0,24510,060300,24510060300,0603.00,46.23377,0.07224,1800,934,621,850,25,43,2,3,25,231,34.5,47.2,1.4,2.4,0.1,0.2,1.4,12.8,112,6.2,31.9,234,25.1,45.2,16.1,54.8,69.2,24510,060300,0,46.23377,0.07224,24916.89,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510060300.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510060300.pdf,2276.80203280303,312829.101781927
213,214,395228,0,24510,140200,24510140200,1402.00,97.65829,0.15259,2853,1432,98,2658,4,5,2,4,36,46,3.4,93.2,0.1,0.2,0.1,0.1,1.3,1.6,136,4.8,24.5,414,28.9,15.3,40.4,84.7,89.1,24510,140200,0,97.65829,0.15259,18697.06,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510140200.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510140200.pdf,3403.9703316903,660956.529452214
214,215,382637,0,24510,160100,24510160100,1601.00,94.54637,0.14773,2388,1556,34,2280,2,12,0,1,26,33,1.4,95.5,0.1,0.5,0,0,1.1,1.4,373,15.6,42.4,465,29.9,25,32.6,75,79.7,24510,160100,0,94.54637,0.14773,16164.79,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510160100.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510160100.pdf,3690.9716869469,639793.236866177
215,216,374070,0,24510,160200,24510160200,1602.00,92.42952,0.14442,2515,1343,26,2424,4,8,0,5,39,9,1,96.4,0.2,0.3,0,0.2,1.6,0.4,220,8.7,30.9,398,29.6,38,14.2,62,83.1,24510,160200,0,92.42952,0.14442,17414.38,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510160200.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510160200.pdf,3602.39675579922,625479.504930893
216,217,4472081,0,24510,260404,24510260404,2604.04,1105.02468,1.7266,1996,812,534,576,24,78,2,3,42,737,26.8,28.9,1.2,3.9,0.1,0.2,2.1,36.9,115,5.8,30.6,187,23,41.5,27.2,58.5,62.5,24510,260404,0,1105.02468,1.7266,1156.03,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510260404.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510260404.pdf,15401.9599568578,7478093.0620956
